Lista de Productos,Precios,Descuento,Marca,Supermercado,Lista de Productos Normalizados,Cluster,Nombre Cluster
arroz superior vallenorte 750 g,S/  4.70,,Frijol Panamito,Tottus,arroz superior vallenort 750 g,7,"arroz, kg, extra"
pimienta negra entera tottus de 20 g,S/  2.50,,Por Tottus,Tottus,pimient negr enter tottus 20 g,4,"sibarit, mol, sazon"
arveja partida tottus de 500 g,S/  4,,VALLENORTE,Tottus,arvej part tottus 500 g,3,"500, bols, costeñ"
salsa roja pouch casa verde 160g,S/  3.95,,Arroz Superior Vallenorte 750 g,Tottus,sals roj pouch cas verd 160g,0,"sals, bols, chocolat"
bonle manjarblanco x 1kg bolsa,S/  18.50,,Por Tottus,Tottus,bonl manjarblanc x 1kg bols,0,"sals, bols, chocolat"
aceituna botija entera olivos del sur 850 g,S/  14.70,,TOTTUS,Tottus,aceitun botij enter oliv sur 850 g,0,"sals, bols, chocolat"
sazonador ajinomoto de 100 g,S/  8.30,,Pimienta negra entera Tottus de 20 g,Tottus,sazon ajinomot 100 g,4,"sibarit, mol, sazon"
clavo de olor badia 7.1 gr,S/  4.95,,Por Tottus,Tottus,clav olor badi 7.1 gr,0,"sals, bols, chocolat"
mostaza düsseldorf,S/  9.90,,TOTTUS,Tottus,mostaz düsseldorf,0,"sals, bols, chocolat"
helado de vainilla con stevia de 50 g,S/  4.90,,Arveja partida Tottus de 500 g,Tottus,hel vainill stevi 50 g,0,"sals, bols, chocolat"
gelatina sabor naranja light tottus x 22g,S/  2.90,,Por Tottus,Tottus,gelatin sabor naranj light tottus x 22g,10,"gelatin, universal, polv"
harina de quinua 500 g,S/  33.90,,GENERICO,Tottus,harin quinu 500 g,3,"500, bols, costeñ"
salsa verde peruana casa verde de 190 g,S/  8.70,,Harina de Quinua 500 g,Tottus,sals verd peruan cas verd 190 g,0,"sals, bols, chocolat"
pasta spaghetti sin gluten x400gr,S/  13.50,21%,Por Tottus,Tottus,past spaghetti glut x400gr,8,"200g, past, cuisin"
vinagre de vino tinto venturo 600 ml,S/  4.90,,CASA VERDE,Tottus,vinagr vin tint ventur 600 ml,0,"sals, bols, chocolat"
naturandes linaza x 150 g,S/  6.20,,Salsa Verde Peruana Casa Verde de 190 g,Tottus,naturand linaz x 150 g,0,"sals, bols, chocolat"
alcachofa a la parrilla casa verde 220 g,S/  8.70,,Por Tottus,Tottus,alcachof parrill cas verd 220 g,0,"sals, bols, chocolat"
pack de sazonador panquita sibarita 3 unidades,S/  3.20,,MOLINOS DEL MUNDO,Tottus,pack sazon panquit sibarit 3 unidad,4,"sibarit, mol, sazon"
tapenade de aceitunas y alcachofa de 185 g,S/  4.90,38%,PASTA SPAGHETTI SIN GLUTEN X400GR,Tottus,tapenad aceitun alcachof 185 g,0,"sals, bols, chocolat"
filete de atún claro en aceite campomar 170 g,S/  6.90,,Por Tottus,Tottus,filet atun clar aceit campom 170 g,5,"aceit, atun, vegetal"
gansito marinela 50 g,S/  2.70,,VENTURO,Tottus,gansit marinel 50 g,0,"sals, bols, chocolat"
aderezo especial x 90 gr,S/  3.65,,Vinagre de vino tinto Venturo 600 mL,Tottus,aderez especial x 90 gr,0,"sals, bols, chocolat"
pudín de butterscotch 4 unidades,S/  16.50,,Por Tottus,Tottus,pudin butterscotch 4 unidad,0,"sals, bols, chocolat"
vegetales mixtos en conserva de 425 g,S/  8.80,,VALLE FERTIL,Tottus,vegetal mixt conserv 425 g,0,"sals, bols, chocolat"
arroz extra vallenorte 750 gr,S/  4.80,,Vegetales mixtos en conserva de 425 g,Tottus,arroz extra vallenort 750 gr,7,"arroz, kg, extra"
salsa de culantro sibarita 100 g,S/  2.20,,Por Tottus,Tottus,sals culantr sibarit 100 g,4,"sibarit, mol, sazon"
salsa huancaína casa verde,S/  5.09,,VALLENORTE,Tottus,sals huancain cas verd,0,"sals, bols, chocolat"
tomillo entero 5 g,S/  3.70,,Arroz Extra Vallenorte 750 gr,Tottus,tomill enter 5 g,0,"sals, bols, chocolat"
dip de alcachofa a la parmesana casa verde 200 g,S/  8.90,,Por Tottus,Tottus,dip alcachof parmesan cas verd 200 g,0,"sals, bols, chocolat"
vinagreta a la mostaza 200 ml,S/  8.90,,SIBARITA,Tottus,vinagret mostaz 200 ml,0,"sals, bols, chocolat"
frijol castilla 500 g,S/  5.60,,Salsa de Culantro Sibarita 100 g,Tottus,frijol castill 500 g,3,"500, bols, costeñ"
tottus orégano entero 10 g,S/  1.40,,Por Tottus,Tottus,tottus oregan enter 10 g,0,"sals, bols, chocolat"
cereal bar costa manzana canela 18 unidades 12g,S/  6.60,,CASA VERDE,Tottus,cereal bar cost manzan canel 18 unidad 12g,0,"sals, bols, chocolat"
fideos spaghetti dr. schär sin gluten 250 g,S/  15.50,,Salsa Huancaína Casa Verde,Tottus,fide spaghetti dr. schär glut 250 g,0,"sals, bols, chocolat"
ketchup artesanal ayni 280 gr,S/  16.40,,Por Tottus,Tottus,ketchup artesanal ayni 280 gr,0,"sals, bols, chocolat"
salsa de ají limo 165 gr,S/  12.70,,SPITZE,Tottus,sals aji lim 165 gr,0,"sals, bols, chocolat"
sillao kikko 350 ml,S/  3.20,,Salsa de Ají Limo 165 gr,Tottus,silla kikk 350 ml,0,"sals, bols, chocolat"
fideo tornillo nicolini de 250 g,S/  1.90,,Por Tottus,Tottus,fide tornill nicolini 250 g,0,"sals, bols, chocolat"
vinagreta a la mostaza de 340 ml,S/  12.40,,KIKKO,Tottus,vinagret mostaz 340 ml,0,"sals, bols, chocolat"
fideos trigrano fusilli américa orgánica de 227 g,S/  14.30,,Sillao Kikko 350 mL,Tottus,fide trigran fusilli amer organ 227 g,0,"sals, bols, chocolat"
mostaza al curry con vinagre clovis 200 g,S/  18.30,,Por Tottus,Tottus,mostaz curry vinagr clovis 200 g,0,"sals, bols, chocolat"
linaza  500gr,S/  10.90,,,Tottus,linaz 500gr,0,"sals, bols, chocolat"
mayonesa tottus de 475 g,S/  9.10,,Fideo Tornillo Nicolini de 250 g,Tottus,mayones tottus 475 g,0,"sals, bols, chocolat"
confites surtidos 2 cerros 125 g,S/  8.90,,Por Tottus,Tottus,confit surt 2 cerr 125 g,0,"sals, bols, chocolat"
orégano entero 18 g,S/  3.30,,EL OLIVAR,Tottus,oregan enter 18 g,0,"sals, bols, chocolat"
tomillo tottus 10 g,S/  2,,Vinagreta a la mostaza de 340 mL,Tottus,tomill tottus 10 g,0,"sals, bols, chocolat"
aderezo para pavo 2 banderas 300 g,S/  8.90,,Por Tottus,Tottus,aderez pav 2 bander 300 g,0,"sals, bols, chocolat"
frijol en conserva bush's de 794 g,S/  22,,BUSHS,Tottus,frijol conserv bush 's 794 g,0,"sals, bols, chocolat"
pancake mix 454 g,S/  79,,Frijol en conserva Bush's de 794 g,Tottus,pancak mix 454 g,0,"sals, bols, chocolat"
frijoles vegetarianos bush's en conserva de 794 g,S/  22,,Por Tottus,Tottus,frijol vegetarian bush 's conserv 794 g,0,"sals, bols, chocolat"
fideo eliche tricolor agnesi 500 g,S/  14.90,,LAKANTO,Tottus,fide elich tricolor agnesi 500 g,0,"sals, bols, chocolat"
tapenade ají limo 260 gr,S/  14.70,,Pancake Mix 454 g,Tottus,tapenad aji lim 260 gr,0,"sals, bols, chocolat"
salsa bbq teriyaki 473 g,S/  30.90,,Por Tottus,Tottus,sals bbq teriyaki 473 g,0,"sals, bols, chocolat"
fideo linguini tottus 500 g,S/  4.50,,BUSHS,Tottus,fide linguini tottus 500 g,3,"500, bols, costeñ"
mayonesa libby's 100 g,S/  3.95,,Frijoles vegetarianos Bush's en conserva de 794 g,Tottus,mayones libby 's 100 g,0,"sals, bols, chocolat"
mazamorra universal de piña de 150 g,S/  3.80,,Por Tottus,Tottus,mazamorr universal piñ 150 g,10,"gelatin, universal, polv"
aderezo criollo bbq 2 banderas 90 g,S/  3.45,,AGNESI,Tottus,aderez crioll bbq 2 bander 90 g,0,"sals, bols, chocolat"
fideos rigatoni divini 500 g,S/  6.45,,Fideo Eliche Tricolor Agnesi 500 g,Tottus,fide rigatoni divini 500 g,0,"sals, bols, chocolat"
pimienta negra molida 15 g,S/  4.70,,Por Tottus,Tottus,pimient negr mol 15 g,4,"sibarit, mol, sazon"
cocina coldex cx751 fg125i48sc 5 quemadores plateado,"S/1,859.00",15 %,Coldex,Metro,cocin coldex cx751 fg125i48sc 5 quemador plat,0,"sals, bols, chocolat"
thomas licuadora 1000w th-840d 10 velocidades,S/. 549.00,38 %,Thomas,Metro,thom licuador 1000w th-840d 10 veloc,0,"sals, bols, chocolat"
cocina indurama montecarlo zafiro 5 quemadores croma,"S/1,799.00",32 %,Indurama,Metro,cocin induram montec zafir 5 quemador crom,0,"sals, bols, chocolat"
refrigerador top freezer mabe 250l rma255fypl total fresh flow platinum,"S/1,349.00",38 %,Mabe,Metro,refriger top freez mab 250l rma255fypl total fresh flow platinum,0,"sals, bols, chocolat"
cocina bosch pro445 ix hsg14i30sc 4 quemadores plateado,"S/1,359.00",15 %,Bosch,Metro,cocin bosch pro445 ix hsg14i30sc 4 quemador plat,0,"sals, bols, chocolat"
imaco waflera wm4150,S/199.00,0,Imaco,Metro,imac wafler wm4150,0,"sals, bols, chocolat"
lavadora samsung wa15t5260bw 15kg wobble,"S/1,599.00",13 %,Samsung,Metro,lavador samsung wa15t5260bw 15kg wobbl,0,"sals, bols, chocolat"
imaco olla arrocera rc15n 1.5 lt,S/109.00,15 %,Imaco,Metro,imac olla arrocer rc15n 1.5 lt,0,"sals, bols, chocolat"
trozos de atún en aceite vegetal metro lata 170 g,S/3.76,20 %,Metro,Metro,troz atun aceit vegetal metr lat 170 g,5,"aceit, atun, vegetal"
aceite de soya sao 900ml,S/8.30,9 %,Sao,Metro,aceit soy sao 900ml,5,"aceit, atun, vegetal"
arroz extra costeño 5kg,S/. 22.90,11 %,Costeño,Metro,arroz extra costeñ 5kg,7,"arroz, kg, extra"
aceite vegetal primor premium 900ml,S/11.50,4 %,Primor,Metro,aceit vegetal primor premium 900ml,5,"aceit, atun, vegetal"
sixpack galletas soda field 32g,S/2.56,20 %,Field,Metro,sixpack gallet sod field 32g,2,"gallet, sixpack, 47g"
fideo spaghetti don vittorio 950g,S/6.00,11 %,Don Vittorio,Metro,fide spaghetti don vittori 950g,1,"vittori, don, pastin"
arroz extra metro bolsa 5 kg,S/. 17.99,6 %,Metro,Metro,arroz extra metr bols 5 kg,7,"arroz, kg, extra"
trozos de atún en aceite primor 140g,S/5.99,0,Primor,Metro,troz atun aceit primor 140g,5,"aceit, atun, vegetal"
sal de mesa marina emsal bolsa 1 kg,S/1.90,13 %,Emsal,Metro,sal mes marin emsal bols 1 kg,0,"sals, bols, chocolat"
mayonesa alacena 850g,S/14.90,20 %,AlaCena,Metro,mayones alacen 850g,0,"sals, bols, chocolat"
galletas san jorge soda pack 7un,S/3.30,19 %,San Jorge,Metro,gallet san jorg sod pack 7un,2,"gallet, sixpack, 47g"
aceite vegetal primor clásico 900ml,S/10.10,12 %,Primor,Metro,aceit vegetal primor clasic 900ml,5,"aceit, atun, vegetal"
tripack menestras máxima 500g: arveja partida + lenteja + frejol canario,S/12.90,12 %,Máxima,Metro,tripack menestr maxim 500g : arvej part + lentej + frejol canari,11,"500g, maxim, co"
fideo tallarín nicolini 950g,S/5.90,0,Nicolini,Metro,fide tallarin nicolini 950g,0,"sals, bols, chocolat"
fideo spaghetti nicolini 950g,S/5.90,0,Nicolini,Metro,fide spaghetti nicolini 950g,0,"sals, bols, chocolat"
filete de atún en aceite florida 140g,S/6.00,7 %,Florida,Metro,filet atun aceit flor 140g,5,"aceit, atun, vegetal"
sixpack galletas coronita con crema de chocolate 36g,S/3.84,20 %,Field,Metro,sixpack gallet coronit crem chocolat 36g,2,"gallet, sixpack, 47g"
pastina tornillo don vittorio 500g,S/4.20,0,Don Vittorio,Metro,pastin tornill don vittori 500g,1,"vittori, don, pastin"
maíz pop corn cuisine & co 500g,S/3.44,20 %,Cuisine & Co,Metro,maiz pop corn cuisin & co 500g,11,"500g, maxim, co"
arveja cuisine & co 500g,S/2.80,20 %,Cuisine & Co,Metro,arvej cuisin & co 500g,11,"500g, maxim, co"
lenteja cuisine & co 500g,S/3.91,20 %,Cuisine & Co,Metro,lentej cuisin & co 500g,11,"500g, maxim, co"
lenteja bebé cuisine & co bolsa 500 gr,S/4.08,20 %,Cuisine & Co,Metro,lentej beb cuisin & co bols 500 gr,3,"500, bols, costeñ"
aceite vegetal máxima 900ml,S/7.90,0,Máxima,Metro,aceit vegetal maxim 900ml,5,"aceit, atun, vegetal"
arroz superior metro bolsa 5 kg,S/. 17.50,3%,Metro,Metro,arroz superior metr bols 5 kg,7,"arroz, kg, extra"
gelatina universal de fresa sobre 130g,S/3.75,0,Universal,Metro,gelatin universal fres 130g,10,"gelatin, universal, polv"
salsa roja completa don vittorio 400g,S/6.90,0,Don Vittorio,Metro,sals roj complet don vittori 400g,1,"vittori, don, pastin"
salsa de tomate pomarola 145g,S/2.10,0,Molitalia,Metro,sals tomat pomarol 145g,0,"sals, bols, chocolat"
sal de cocina marina emsal bolsa 1 kg,S/1.90,13 %,Emsal,Metro,sal cocin marin emsal bols 1 kg,0,"sals, bols, chocolat"
pack x6 galleta pícaras la clásica 40g,S/4.70,4 %,Picaras,Metro,pack x6 gallet pic clasic 40g,2,"gallet, sixpack, 47g"
galletas sabor vainilla field paquete 37 g pack 6 unid,S/4.08,20 %,Field,Metro,gallet sabor vainill field paquet 37 g pack 6 unid,2,"gallet, sixpack, 47g"
sixpack galletas margarita 46.5g,S/4.50,0,Sayón,Metro,sixpack gallet margarit 46.5g,2,"gallet, sixpack, 47g"
sixpack galletas morochas 30g,S/. 4.90,10 %,Nestlé,Metro,sixpack gallet moroch 30g,2,"gallet, sixpack, 47g"
cabello de ángel don vittorio 250g,S/2.45,0,Don Vittorio,Metro,cabell angel don vittori 250g,1,"vittori, don, pastin"
concentrado en polvo doña gusta sabor gallina 6un,S/1.70,0,Doña Gusta,Metro,concentr polv doñ gust sabor gallin 6un,9,"sabor, instantane, sop"
maíz pop corn costeño bolsa 500 g,S/3.68,20 %,Costeño,Metro,maiz pop corn costeñ bols 500 g,3,"500, bols, costeñ"
arroz gran reserva extra valle norte bolsa 5 kg,S/. 22.90,8%,Valle Norte,Metro,arroz gran reserv extra vall nort bols 5 kg,7,"arroz, kg, extra"
sixpack galletas chips ahoy 37g,S/6.70,0,chips-ahoy,Metro,sixpack gallet chips ahoy 37g,2,"gallet, sixpack, 47g"
fideos cuisine &co cabello de ángel 250g,S/1.70,5 %,cuisine---co,Metro,fide cuisin & co cabell angel 250g,6,"cuisin, co, fide"
aceite de girasol monteagle botella 900ml,S/9.69,34 %,Monteagle,Metro,aceit girasol monteagl botell 900ml,5,"aceit, atun, vegetal"
pastina rigatoni don vittorio 235g,S/2.30,0,don-vittorio,Metro,pastin rigatoni don vittori 235g,1,"vittori, don, pastin"
aceite vegetal deleite premium 900ml,S/8.50,3 %,Deleite,Metro,aceit vegetal deleit premium 900ml,5,"aceit, atun, vegetal"
harina preparada blanca flor 1kg,S/8.90,7 %,Blanca Flor,Metro,harin prepar blanc flor 1kg,0,"sals, bols, chocolat"
fideo linguini grosso don vittorio 950g,S/6.00,11 %,Don Vittorio,Metro,fide linguini gross don vittori 950g,1,"vittori, don, pastin"
fideo spaghetti don vittorio 450g,S/4.00,13 %,Don Vittorio,Metro,fide spaghetti don vittori 450g,1,"vittori, don, pastin"
twelvepack galletas oreo original 36g,S/7.36,20 %,Oreo,Metro,twelvepack gallet ore original 36g,2,"gallet, sixpack, 47g"
saborizante sabor esencia de vainilla umsha 90ml,S/2.20,0,Umsha,Metro,saboriz sabor esenci vainill umsha 90ml,9,"sabor, instantane, sop"
pasta corta macarrón bolsa 500 g,S/3.30,0,Molitalia,Metro,past cort macarron bols 500 g,8,"200g, past, cuisin"
pasta corta tornillo bolsa 500 g,S/3.30,0,Molitalia,Metro,past cort tornill bols 500 g,8,"200g, past, cuisin"
pasta de tomate cuisine & co doypack 100 g,S/1.56,20 %,Cuisine & Co,Metro,past tomat cuisin & co doypack 100 g,6,"cuisin, co, fide"
arroz extra natural gran chalan bolsa 5 kg,S/. 21.70,3 %,Gran Chalan,Metro,arroz extra natural gran chal bols 5 kg,7,"arroz, kg, extra"
filete de atún en agua florida 140g,S/6.00,7 %,Florida,Metro,filet atun agu flor 140g,5,"aceit, atun, vegetal"
durazno en mitades metro lata 820 g,S/7.44,20 %,Metro,Metro,durazn mitad metr lat 820 g,0,"sals, bols, chocolat"
papas inka chips sal de mar 135g,S/5.50,31 %,Inka Chips,Metro,pap inka chips sal mar 135g,0,"sals, bols, chocolat"
quinua máxima 500g,S/7.30,0,Máxima,Metro,quinu maxim 500g,11,"500g, maxim, co"
mostaza libbys doypack 200 g,S/5.20,0,Libby's,Metro,mostaz libbys doypack 200 g,0,"sals, bols, chocolat"
vinagre blanco del firme doy pack 1000 ml,S/4.80,0,Del Firme,Metro,vinagr blanc firm doy pack 1000 ml,0,"sals, bols, chocolat"
puré de papa nicolini 125g,S/3.30,0,Nicolini,Metro,pur pap nicolini 125g,0,"sals, bols, chocolat"
frejol canario máxima 500g,S/6.70,0,Máxima,Metro,frejol canari maxim 500g,11,"500g, maxim, co"
arroz superior impacto bolsa 5 kg,S/. 15.90,22%,Impacto,Metro,arroz superior impact bols 5 kg,7,"arroz, kg, extra"
galletas saladitas cuisine & co pack 6un 46g,S/3.40,0,Cuisine & Co,Metro,gallet saladit cuisin & co pack 6un 46g,6,"cuisin, co, fide"
arroz extra paisana bolsa 5 kg,S/. 22.65,0,Paisana,Metro,arroz extra paisan bols 5 kg,7,"arroz, kg, extra"
arroz superior paisana bolsa 5 kg,S/. 18.50,9 %,Paisana,Metro,arroz superior paisan bols 5 kg,7,"arroz, kg, extra"
filete de atún primor 140g,S/6.10,0,Primor,Metro,filet atun primor 140g,5,"aceit, atun, vegetal"
harina preparada favorita 1kg,S/6.00,0,Favorita,Metro,harin prepar favorit 1kg,0,"sals, bols, chocolat"
lomos de atún campomar en agua y sal 150g,S/5.90,6 %,Campomar,Metro,lom atun campom agu sal 150g,5,"aceit, atun, vegetal"
leche condensada nestlé lata 393g,S/6.20,17 %,Nestlé,Metro,lech condens nestl lat 393g,0,"sals, bols, chocolat"
gelatina universal de piña sobre 130g,S/3.75,0,Universal,Metro,gelatin universal piñ 130g,10,"gelatin, universal, polv"
gelatina en polvo sabor a fresa royal sobre 160 g,S/3.00,20 %,Royal,Metro,gelatin polv sabor fres royal 160 g,10,"gelatin, universal, polv"
gelatina sabor fresa diet universal 19g,S/3.50,0,Universal,Metro,gelatin sabor fres diet universal 19g,10,"gelatin, universal, polv"
sillao aji-no-sillao botella 500 ml,S/4.80,0,Aji-No-Sillao,Metro,silla aji-no-silla botell 500 ml,0,"sals, bols, chocolat"
salsa clásica molitalia pomarola 290g,S/4.00,0,Molitalia,Metro,sals clasic molitali pomarol 290g,0,"sals, bols, chocolat"
pimienta negra molida sibarita sobre 6 unid,S/3.90,0,Sibarita,Metro,pimient negr mol sibarit 6 unid,4,"sibarit, mol, sazon"
mayonesa alacena 475g,S/12.90,14 %,AlaCena,Metro,mayones alacen 475g,0,"sals, bols, chocolat"
ketchup alacena 380g,S/9.50,0,AlaCena,Metro,ketchup alacen 380g,0,"sals, bols, chocolat"
canela entera sibarita sobre 10 g,S/3.30,0,Sibarita,Metro,canel enter sibarit 10 g,4,"sibarit, mol, sazon"
sémola molitalia bolsa 200 g,S/2.00,0,Molitalia,Metro,semol molitali bols 200 g,0,"sals, bols, chocolat"
sixpack galletas soda v original 35g,S/3.70,0,Victoria,Metro,sixpack gallet sod v original 35g,2,"gallet, sixpack, 47g"
sixpack galleta costa agua light 42g,S/4.60,0,Costa,Metro,sixpack gallet cost agu light 42g,2,"gallet, sixpack, 47g"
sixpack galletas de chocolate doña pepa field 23g,S/4.00,20 %,Field,Metro,sixpack gallet chocolat doñ pep field 23g,2,"gallet, sixpack, 47g"
galletas animalitos vainilla bolsa 500 g,S/4.90,0,San Jorge,Metro,gallet animalit vainill bols 500 g,3,"500, bols, costeñ"
pack x9 wafer cua cua field 18g,S/5.20,20 %,Field,Metro,pack x9 waf cua cua field 18g,0,"sals, bols, chocolat"
spaguetti molitalia 950g,S/6.10,8 %,Molitalia,Metro,spaguetti molitali 950g,0,"sals, bols, chocolat"
pastina tornillo chico molitalia bolsa 250 g,S/2.10,0,Molitalia,Metro,pastin tornill chic molitali bols 250 g,0,"sals, bols, chocolat"
pastina canuto rayado don vittorio 235g,S/2.30,0,Don Vittorio,Metro,pastin canut ray don vittori 235g,1,"vittori, don, pastin"
pasta para ensalada tornillo especial con espinaca y tomate molitalia bolsa 250 g,S/3.00,0,Molitalia,Metro,past ensal tornill especial espinac tomat molitali bols 250 g,8,"200g, past, cuisin"
lomos de atún campomar en aceite lata 150g,S/5.90,6 %,Campomar,Metro,lom atun campom aceit lat 150g,5,"aceit, atun, vegetal"
filete de atún en aceite campomar 150g,S/. 5.90,9 %,Campomar,Metro,filet atun aceit campom 150g,5,"aceit, atun, vegetal"
sopa instantánea ajinomen sabor gallina picante 80g,S/1.60,0,Ajinomen,Metro,sop instantane ajinom sabor gallin picant 80g,9,"sabor, instantane, sop"
sopa instantánea ajinomen sabor gallina 80g,S/1.60,0,Ajinomen,Metro,sop instantane ajinom sabor gallin 80g,9,"sabor, instantane, sop"
lenteja bebé tesoro del campo bolsa 500 g,S/5.30,0,Tesoro del Campo,Metro,lentej beb tesor camp bols 500 g,3,"500, bols, costeñ"
trigo mote costeño bolsa 500 g,S/4.00,0,Costeño,Metro,trig mot costeñ bols 500 g,3,"500, bols, costeñ"
lenteja costeño bolsa 500 g,S/4.64,20 %,Costeño,Metro,lentej costeñ bols 500 g,3,"500, bols, costeñ"
arroz superior valle norte primera cosecha bolsa 5 kg,S/. 20.90,0,Valle Norte,Metro,arroz superior vall nort primer cosech bols 5 kg,7,"arroz, kg, extra"
arroz superior costeño bolsa 5 kg,S/. 22.50,0,Costeño,Metro,arroz superior costeñ bols 5 kg,7,"arroz, kg, extra"
arroz extra costeño bolsa 750 g,S/. 4.50,0,Costeño,Metro,arroz extra costeñ bols 750 g,7,"arroz, kg, extra"
aceite de oliva la española extra virgen botella 1 l,S/. 29.94,40 %,La Española,Metro,aceit oliv español extra virg botell 1 l,5,"aceit, atun, vegetal"
sixpack galletas saladas ritz sandwich sabor queso 30g,S/4.50,0,Ritz,Metro,sixpack gallet sal ritz sandwich sabor ques 30g,2,"gallet, sixpack, 47g"
sixpack galletas club social original 24g,S/4.20,0,club-social,Metro,sixpack gallet club social original 24g,2,"gallet, sixpack, 47g"
fideos cuisine &co canuto 250g,S/1.70,5 %,cuisine---co,Metro,fide cuisin & co canut 250g,6,"cuisin, co, fide"
fideos cuisine &co tornillo 450g,S/3.70,0,cuisine---co,Metro,fide cuisin & co tornill 450g,6,"cuisin, co, fide"
fideos cuisine &co corbata 250g,S/1.70,5 %,cuisine---co,Metro,fide cuisin & co corbat 250g,6,"cuisin, co, fide"
fideos codo rayado don vittorio 225g,S/2.30,0,don-vittorio,Metro,fide cod ray don vittori 225g,1,"vittori, don, pastin"
tripack menestras cuisine & co 500g: arveja + lenteja + frijol canario,S/14.20,10 %,Cuisine & Co,Metro,tripack menestr cuisin & co 500g : arvej + lentej + frijol canari,11,"500g, maxim, co"
maíz frito en hojuelas tortees picante 71g,S/2.70,0,Frito Lays,Metro,maiz frit hojuel tort picant 71g,0,"sals, bols, chocolat"
mostaza b&d 200g,S/3.12,20 %,B&D,Metro,mostaz b & d 200g,8,"200g, past, cuisin"
fideo tallarín delgado nicolini 450g,S/3.70,7 %,Nicolini,Metro,fide tallarin delg nicolini 450g,0,"sals, bols, chocolat"
fideo fettuccini don vittorio 950g,S/6.00,11 %,Don Vittorio,Metro,fide fettuccini don vittori 950g,1,"vittori, don, pastin"
laurel en hojas secas cuisine & co 3g,S/1.60,0,Cuisine & Co,Metro,laurel hoj sec cuisin & co 3g,6,"cuisin, co, fide"
comino molido cuisine & co 18g,S/2.79,0,Cuisine & Co,Metro,comin mol cuisin & co 18g,6,"cuisin, co, fide"
pimienta negra molida cuisine & co 18g,S/3.20,0,Cuisine & Co,Metro,pimient negr mol cuisin & co 18g,6,"cuisin, co, fide"
vinagre blanco cuisine & co 1l,S/4.60,0,Cuisine & Co,Metro,vinagr blanc cuisin & co 1l,6,"cuisin, co, fide"
vinagre blanco cuisine & co 500ml,S/2.99,0,Cuisine & Co,Metro,vinagr blanc cuisin & co 500ml,6,"cuisin, co, fide"
atún desmenuzado máxima 170g,S/2.72,20 %,Máxima,Metro,atun desmenuz maxim 170g,0,"sals, bols, chocolat"
aceite de girasol cuisine & co 900ml,S/11.90,7 %,Cuisine & Co,Metro,aceit girasol cuisin & co 900ml,6,"cuisin, co, fide"
maicena umsha 180g,S/2.80,0,Umsha,Metro,maicen umsha 180g,0,"sals, bols, chocolat"
sazonador ají panca sin picante sobre 57 g 6 unid,S/2.20,0,Sibarita,Metro,sazon aji panc picant 57 g 6 unid,4,"sibarit, mol, sazon"
sal fina 600 g,S/7.84,20 %,maras-gourmet,Metro,sal fin 600 g,0,"sals, bols, chocolat"
trigo mote bolsa 350 g,S/2.70,0,Tesoro del Campo,Metro,trig mot bols 350 g,0,"sals, bols, chocolat"
aceite vegetal primor clásico 1.8l,S/20.90,0,Primor,Metro,aceit vegetal primor clasic 1.8l,5,"aceit, atun, vegetal"
alverja verde tesoro del campo bolsa 350 g,S/2.85,0,Tesoro del Campo,Metro,alverj verd tesor camp bols 350 g,3,"500, bols, costeñ"
pecanas peladas cuisine&co pote 100 g,S/13.30,0,Cuisine & Co,Metro,pecan pel cuisin & co pot 100 g,6,"cuisin, co, fide"
macaroni & cheese cuisine & co sabor original caja 226g,S/6.40,0,Cuisine & Co,Metro,macaroni & chees cuisin & co sabor original caj 226g,6,"cuisin, co, fide"
sillau kikko botella 1 litro,S/6.90,0,Kikko,Metro,sillau kikk botell 1 litr,0,"sals, bols, chocolat"
leche condensada cuisine & co lata 397g,S/5.40,11 %,Cuisine & Co,Metro,lech condens cuisin & co lat 397g,6,"cuisin, co, fide"
mayonesa light cuisine & co doypack 475 g,S/10.16,20 %,Cuisine & Co,Metro,mayones light cuisin & co doypack 475 g,6,"cuisin, co, fide"
arroz extra añejo cuisine&co bolsa 5 kg,S/. 20.90,12 %,Cuisine & Co,Metro,arroz extra añej cuisin & co bols 5 kg,7,"arroz, kg, extra"
salsa de culantro con espinaca culantrito sibarita doypack 250 g,S/3.90,0,Sibarita,Metro,sals culantr espinac culantrit sibarit doypack 250 g,4,"sibarit, mol, sazon"
kétchup cuisine & co 380g,S/6.64,20 %,Cuisine & Co,Metro,ketchup cuisin & co 380g,6,"cuisin, co, fide"
mayonesa tradicional cuisine & co 475g,S/10.16,20 %,Cuisine & Co,Metro,mayones tradicional cuisin & co 475g,6,"cuisin, co, fide"
papas inka chips sabor jalapeño 135g,S/5.50,31 %,Inka Chips,Metro,pap inka chips sabor jalapeñ 135g,9,"sabor, instantane, sop"
pastina tornillo de colores don vittorio 250g,S/2.30,0,Don Vittorio,Metro,pastin tornill color don vittori 250g,1,"vittori, don, pastin"
maní salado cuisine & co 200g,S/6.50,0,Cuisine & Co,Metro,man sal cuisin & co 200g,8,"200g, past, cuisin"
caldo concentrado sabor tocino doña gusta  caja 42 g,S/1.70,0,Doña Gusta,Metro,cald concentr sabor tocin doñ gust caj 42 g,9,"sabor, instantane, sop"
solido de atún en agua y sal metro lata 120 g,S/4.48,20 %,Metro,Metro,sol atun agu sal metr lat 120 g,5,"aceit, atun, vegetal"
