Lista de Productos,Precios,Descuento,Marca,Supermercado,Lista de Productos Normalizados,Cluster
orégano entero 18 g,S/  3.30,,EL OLIVAR,Tottus,oregan enter 18 g,0
tomillo tottus 10 g,S/  2,,Vinagreta a la mostaza de 340 mL,Tottus,tomill tottus 10 g,0
aderezo para pavo 2 banderas 300 g,S/  8.90,,Por Tottus,Tottus,aderez pav 2 bander 300 g,0
frijol en conserva bush's de 794 g,S/  22,,BUSHS,Tottus,frijol conserv bush 's 794 g,0
pancake mix 454 g,S/  79,,Frijol en conserva Bush's de 794 g,Tottus,pancak mix 454 g,0
frijoles vegetarianos bush's en conserva de 794 g,S/  22,,Por Tottus,Tottus,frijol vegetarian bush 's conserv 794 g,0
fideo eliche tricolor agnesi 500 g,S/  14.90,,LAKANTO,Tottus,fide elich tricolor agnesi 500 g,2
tapenade ají limo 260 gr,S/  14.70,,Pancake Mix 454 g,Tottus,tapenad aji lim 260 gr,0
salsa bbq teriyaki 473 g,S/  30.90,,Por Tottus,Tottus,sals bbq teriyaki 473 g,0
fideo linguini tottus 500 g,S/  4.50,,BUSHS,Tottus,fide linguini tottus 500 g,2
mayonesa libby's 100 g,S/  3.95,,Frijoles vegetarianos Bush's en conserva de 794 g,Tottus,mayones libby 's 100 g,7
mazamorra universal de piña de 150 g,S/  3.80,,Por Tottus,Tottus,mazamorr universal piñ 150 g,0
aderezo criollo bbq 2 banderas 90 g,S/  3.45,,AGNESI,Tottus,aderez crioll bbq 2 bander 90 g,0
fideos rigatoni divini 500 g,S/  6.45,,Fideo Eliche Tricolor Agnesi 500 g,Tottus,fide rigatoni divini 500 g,2
pimienta negra molida 15 g,S/  4.70,,Por Tottus,Tottus,pimient negr mol 15 g,0
cocina coldex cx751 fg125i48sc 5 quemadores plateado,"S/1,859.00",15 %,Coldex,Metro,cocin coldex cx751 fg125i48sc 5 quemador plat,0
thomas licuadora 1000w th-840d 10 velocidades,S/. 549.00,38 %,Thomas,Metro,thom licuador 1000w th-840d 10 veloc,0
cocina indurama montecarlo zafiro 5 quemadores croma,"S/1,799.00",32 %,Indurama,Metro,cocin induram montec zafir 5 quemador crom,0
refrigerador top freezer mabe 250l rma255fypl total fresh flow platinum,"S/1,349.00",38 %,Mabe,Metro,refriger top freez mab 250l rma255fypl total fresh flow platinum,0
cocina bosch pro445 ix hsg14i30sc 4 quemadores plateado,"S/1,359.00",15 %,Bosch,Metro,cocin bosch pro445 ix hsg14i30sc 4 quemador plat,0
imaco waflera wm4150,S/199.00,0,Imaco,Metro,imac wafler wm4150,0
lavadora samsung wa15t5260bw 15kg wobble,"S/1,599.00",13 %,Samsung,Metro,lavador samsung wa15t5260bw 15kg wobbl,0
imaco olla arrocera rc15n 1.5 lt,S/109.00,15 %,Imaco,Metro,imac olla arrocer rc15n 1.5 lt,0
trozos de atún en aceite vegetal metro lata 170 g,S/3.76,20 %,Metro,Metro,troz atun aceit vegetal metr lat 170 g,8
aceite de soya sao 900ml,S/8.30,9 %,Sao,Metro,aceit soy sao 900ml,4
arroz extra costeño 5kg,S/. 22.90,11 %,Costeño,Metro,arroz extra costeñ 5kg,6
aceite vegetal primor premium 900ml,S/11.50,4 %,Primor,Metro,aceit vegetal primor premium 900ml,4
sixpack galletas soda field 32g,S/2.56,20 %,Field,Metro,sixpack gallet sod field 32g,5
fideo spaghetti don vittorio 950g,S/6.00,11 %,Don Vittorio,Metro,fide spaghetti don vittori 950g,0
arroz extra metro bolsa 5 kg,S/. 17.99,6 %,Metro,Metro,arroz extra metr bols 5 kg,6
trozos de atún en aceite primor 140g,S/5.99,0,Primor,Metro,troz atun aceit primor 140g,8
sal de mesa marina emsal bolsa 1 kg,S/1.90,13 %,Emsal,Metro,sal mes marin emsal bols 1 kg,0
mayonesa alacena 850g,S/14.90,20 %,AlaCena,Metro,mayones alacen 850g,7
galletas san jorge soda pack 7un,S/3.30,19 %,San Jorge,Metro,gallet san jorg sod pack 7un,9
aceite vegetal primor clásico 900ml,S/10.10,12 %,Primor,Metro,aceit vegetal primor clasic 900ml,4
tripack menestras máxima 500g: arveja partida + lenteja + frejol canario,S/12.90,12 %,Máxima,Metro,tripack menestr maxim 500g : arvej part + lentej + frejol canari,3
fideo tallarín nicolini 950g,S/5.90,0,Nicolini,Metro,fide tallarin nicolini 950g,0
fideo spaghetti nicolini 950g,S/5.90,0,Nicolini,Metro,fide spaghetti nicolini 950g,0
filete de atún en aceite florida 140g,S/6.00,7 %,Florida,Metro,filet atun aceit flor 140g,8
sixpack galletas coronita con crema de chocolate 36g,S/3.84,20 %,Field,Metro,sixpack gallet coronit crem chocolat 36g,5
pastina tornillo don vittorio 500g,S/4.20,0,Don Vittorio,Metro,pastin tornill don vittori 500g,0
maíz pop corn cuisine & co 500g,S/3.44,20 %,Cuisine & Co,Metro,maiz pop corn cuisin & co 500g,1
arveja cuisine & co 500g,S/2.80,20 %,Cuisine & Co,Metro,arvej cuisin & co 500g,1
lenteja cuisine & co 500g,S/3.91,20 %,Cuisine & Co,Metro,lentej cuisin & co 500g,1
lenteja bebé cuisine & co bolsa 500 gr,S/4.08,20 %,Cuisine & Co,Metro,lentej beb cuisin & co bols 500 gr,1
aceite vegetal máxima 900ml,S/7.90,0,Máxima,Metro,aceit vegetal maxim 900ml,4
arroz superior metro bolsa 5 kg,S/. 17.50,3%,Metro,Metro,arroz superior metr bols 5 kg,6
gelatina universal de fresa sobre 130g,S/3.75,0,Universal,Metro,gelatin universal fres 130g,0
salsa roja completa don vittorio 400g,S/6.90,0,Don Vittorio,Metro,sals roj complet don vittori 400g,0
salsa de tomate pomarola 145g,S/2.10,0,Molitalia,Metro,sals tomat pomarol 145g,0
sal de cocina marina emsal bolsa 1 kg,S/1.90,13 %,Emsal,Metro,sal cocin marin emsal bols 1 kg,0
pack x6 galleta pícaras la clásica 40g,S/4.70,4 %,Picaras,Metro,pack x6 gallet pic clasic 40g,9
galletas sabor vainilla field paquete 37 g pack 6 unid,S/4.08,20 %,Field,Metro,gallet sabor vainill field paquet 37 g pack 6 unid,9
sixpack galletas margarita 46.5g,S/4.50,0,Sayón,Metro,sixpack gallet margarit 46.5g,5
sixpack galletas morochas 30g,S/. 4.90,10 %,Nestlé,Metro,sixpack gallet moroch 30g,5
cabello de ángel don vittorio 250g,S/2.45,0,Don Vittorio,Metro,cabell angel don vittori 250g,0
concentrado en polvo doña gusta sabor gallina 6un,S/1.70,0,Doña Gusta,Metro,concentr polv doñ gust sabor gallin 6un,5
maíz pop corn costeño bolsa 500 g,S/3.68,20 %,Costeño,Metro,maiz pop corn costeñ bols 500 g,2
arroz gran reserva extra valle norte bolsa 5 kg,S/. 22.90,8%,Valle Norte,Metro,arroz gran reserv extra vall nort bols 5 kg,6
sixpack galletas chips ahoy 37g,S/6.70,0,chips-ahoy,Metro,sixpack gallet chips ahoy 37g,5
fideos cuisine &co cabello de ángel 250g,S/1.70,5 %,cuisine---co,Metro,fide cuisin & co cabell angel 250g,1
aceite de girasol monteagle botella 900ml,S/9.69,34 %,Monteagle,Metro,aceit girasol monteagl botell 900ml,4
pastina rigatoni don vittorio 235g,S/2.30,0,don-vittorio,Metro,pastin rigatoni don vittori 235g,0
aceite vegetal deleite premium 900ml,S/8.50,3 %,Deleite,Metro,aceit vegetal deleit premium 900ml,4
harina preparada blanca flor 1kg,S/8.90,7 %,Blanca Flor,Metro,harin prepar blanc flor 1kg,0
fideo linguini grosso don vittorio 950g,S/6.00,11 %,Don Vittorio,Metro,fide linguini gross don vittori 950g,0
fideo spaghetti don vittorio 450g,S/4.00,13 %,Don Vittorio,Metro,fide spaghetti don vittori 450g,0
twelvepack galletas oreo original 36g,S/7.36,20 %,Oreo,Metro,twelvepack gallet ore original 36g,5
saborizante sabor esencia de vainilla umsha 90ml,S/2.20,0,Umsha,Metro,saboriz sabor esenci vainill umsha 90ml,5
pasta corta macarrón bolsa 500 g,S/3.30,0,Molitalia,Metro,past cort macarron bols 500 g,2
pasta corta tornillo bolsa 500 g,S/3.30,0,Molitalia,Metro,past cort tornill bols 500 g,2
pasta de tomate cuisine & co doypack 100 g,S/1.56,20 %,Cuisine & Co,Metro,past tomat cuisin & co doypack 100 g,1
arroz extra natural gran chalan bolsa 5 kg,S/. 21.70,3 %,Gran Chalan,Metro,arroz extra natural gran chal bols 5 kg,6
filete de atún en agua florida 140g,S/6.00,7 %,Florida,Metro,filet atun agu flor 140g,8
durazno en mitades metro lata 820 g,S/7.44,20 %,Metro,Metro,durazn mitad metr lat 820 g,0
papas inka chips sal de mar 135g,S/5.50,31 %,Inka Chips,Metro,pap inka chips sal mar 135g,0
quinua máxima 500g,S/7.30,0,Máxima,Metro,quinu maxim 500g,3
mostaza libbys doypack 200 g,S/5.20,0,Libby's,Metro,mostaz libbys doypack 200 g,7
vinagre blanco del firme doy pack 1000 ml,S/4.80,0,Del Firme,Metro,vinagr blanc firm doy pack 1000 ml,9
puré de papa nicolini 125g,S/3.30,0,Nicolini,Metro,pur pap nicolini 125g,0
frejol canario máxima 500g,S/6.70,0,Máxima,Metro,frejol canari maxim 500g,3
arroz superior impacto bolsa 5 kg,S/. 15.90,22%,Impacto,Metro,arroz superior impact bols 5 kg,6
galletas saladitas cuisine & co pack 6un 46g,S/3.40,0,Cuisine & Co,Metro,gallet saladit cuisin & co pack 6un 46g,1
arroz extra paisana bolsa 5 kg,S/. 22.65,0,Paisana,Metro,arroz extra paisan bols 5 kg,6
arroz superior paisana bolsa 5 kg,S/. 18.50,9 %,Paisana,Metro,arroz superior paisan bols 5 kg,6
filete de atún primor 140g,S/6.10,0,Primor,Metro,filet atun primor 140g,8
harina preparada favorita 1kg,S/6.00,0,Favorita,Metro,harin prepar favorit 1kg,0
lomos de atún campomar en agua y sal 150g,S/5.90,6 %,Campomar,Metro,lom atun campom agu sal 150g,8
leche condensada nestlé lata 393g,S/6.20,17 %,Nestlé,Metro,lech condens nestl lat 393g,0
gelatina universal de piña sobre 130g,S/3.75,0,Universal,Metro,gelatin universal piñ 130g,0
gelatina en polvo sabor a fresa royal sobre 160 g,S/3.00,20 %,Royal,Metro,gelatin polv sabor fres royal 160 g,5
gelatina sabor fresa diet universal 19g,S/3.50,0,Universal,Metro,gelatin sabor fres diet universal 19g,5
sillao aji-no-sillao botella 500 ml,S/4.80,0,Aji-No-Sillao,Metro,silla aji-no-silla botell 500 ml,2
salsa clásica molitalia pomarola 290g,S/4.00,0,Molitalia,Metro,sals clasic molitali pomarol 290g,0
pimienta negra molida sibarita sobre 6 unid,S/3.90,0,Sibarita,Metro,pimient negr mol sibarit 6 unid,9
mayonesa alacena 475g,S/12.90,14 %,AlaCena,Metro,mayones alacen 475g,7
ketchup alacena 380g,S/9.50,0,AlaCena,Metro,ketchup alacen 380g,7
canela entera sibarita sobre 10 g,S/3.30,0,Sibarita,Metro,canel enter sibarit 10 g,0
sémola molitalia bolsa 200 g,S/2.00,0,Molitalia,Metro,semol molitali bols 200 g,0
sixpack galletas soda v original 35g,S/3.70,0,Victoria,Metro,sixpack gallet sod v original 35g,5
sixpack galleta costa agua light 42g,S/4.60,0,Costa,Metro,sixpack gallet cost agu light 42g,5
sixpack galletas de chocolate doña pepa field 23g,S/4.00,20 %,Field,Metro,sixpack gallet chocolat doñ pep field 23g,5
galletas animalitos vainilla bolsa 500 g,S/4.90,0,San Jorge,Metro,gallet animalit vainill bols 500 g,2
pack x9 wafer cua cua field 18g,S/5.20,20 %,Field,Metro,pack x9 waf cua cua field 18g,9
spaguetti molitalia 950g,S/6.10,8 %,Molitalia,Metro,spaguetti molitali 950g,0
pastina tornillo chico molitalia bolsa 250 g,S/2.10,0,Molitalia,Metro,pastin tornill chic molitali bols 250 g,0
pastina canuto rayado don vittorio 235g,S/2.30,0,Don Vittorio,Metro,pastin canut ray don vittori 235g,0
pasta para ensalada tornillo especial con espinaca y tomate molitalia bolsa 250 g,S/3.00,0,Molitalia,Metro,past ensal tornill especial espinac tomat molitali bols 250 g,0
lomos de atún campomar en aceite lata 150g,S/5.90,6 %,Campomar,Metro,lom atun campom aceit lat 150g,8
filete de atún en aceite campomar 150g,S/. 5.90,9 %,Campomar,Metro,filet atun aceit campom 150g,8
sopa instantánea ajinomen sabor gallina picante 80g,S/1.60,0,Ajinomen,Metro,sop instantane ajinom sabor gallin picant 80g,5
sopa instantánea ajinomen sabor gallina 80g,S/1.60,0,Ajinomen,Metro,sop instantane ajinom sabor gallin 80g,5
lenteja bebé tesoro del campo bolsa 500 g,S/5.30,0,Tesoro del Campo,Metro,lentej beb tesor camp bols 500 g,2
trigo mote costeño bolsa 500 g,S/4.00,0,Costeño,Metro,trig mot costeñ bols 500 g,2
lenteja costeño bolsa 500 g,S/4.64,20 %,Costeño,Metro,lentej costeñ bols 500 g,2
arroz superior valle norte primera cosecha bolsa 5 kg,S/. 20.90,0,Valle Norte,Metro,arroz superior vall nort primer cosech bols 5 kg,6
arroz superior costeño bolsa 5 kg,S/. 22.50,0,Costeño,Metro,arroz superior costeñ bols 5 kg,6
arroz extra costeño bolsa 750 g,S/. 4.50,0,Costeño,Metro,arroz extra costeñ bols 750 g,6
aceite de oliva la española extra virgen botella 1 l,S/. 29.94,40 %,La Española,Metro,aceit oliv español extra virg botell 1 l,4
sixpack galletas saladas ritz sandwich sabor queso 30g,S/4.50,0,Ritz,Metro,sixpack gallet sal ritz sandwich sabor ques 30g,5
sixpack galletas club social original 24g,S/4.20,0,club-social,Metro,sixpack gallet club social original 24g,5
fideos cuisine &co canuto 250g,S/1.70,5 %,cuisine---co,Metro,fide cuisin & co canut 250g,1
fideos cuisine &co tornillo 450g,S/3.70,0,cuisine---co,Metro,fide cuisin & co tornill 450g,1
fideos cuisine &co corbata 250g,S/1.70,5 %,cuisine---co,Metro,fide cuisin & co corbat 250g,1
fideos codo rayado don vittorio 225g,S/2.30,0,don-vittorio,Metro,fide cod ray don vittori 225g,0
tripack menestras cuisine & co 500g: arveja + lenteja + frijol canario,S/14.20,10 %,Cuisine & Co,Metro,tripack menestr cuisin & co 500g : arvej + lentej + frijol canari,3
maíz frito en hojuelas tortees picante 71g,S/2.70,0,Frito Lays,Metro,maiz frit hojuel tort picant 71g,0
mostaza b&d 200g,S/3.12,20 %,B&D,Metro,mostaz b & d 200g,0
fideo tallarín delgado nicolini 450g,S/3.70,7 %,Nicolini,Metro,fide tallarin delg nicolini 450g,0
fideo fettuccini don vittorio 950g,S/6.00,11 %,Don Vittorio,Metro,fide fettuccini don vittori 950g,0
laurel en hojas secas cuisine & co 3g,S/1.60,0,Cuisine & Co,Metro,laurel hoj sec cuisin & co 3g,1
comino molido cuisine & co 18g,S/2.79,0,Cuisine & Co,Metro,comin mol cuisin & co 18g,1
pimienta negra molida cuisine & co 18g,S/3.20,0,Cuisine & Co,Metro,pimient negr mol cuisin & co 18g,1
vinagre blanco cuisine & co 1l,S/4.60,0,Cuisine & Co,Metro,vinagr blanc cuisin & co 1l,1
vinagre blanco cuisine & co 500ml,S/2.99,0,Cuisine & Co,Metro,vinagr blanc cuisin & co 500ml,1
atún desmenuzado máxima 170g,S/2.72,20 %,Máxima,Metro,atun desmenuz maxim 170g,8
aceite de girasol cuisine & co 900ml,S/11.90,7 %,Cuisine & Co,Metro,aceit girasol cuisin & co 900ml,1
maicena umsha 180g,S/2.80,0,Umsha,Metro,maicen umsha 180g,0
sazonador ají panca sin picante sobre 57 g 6 unid,S/2.20,0,Sibarita,Metro,sazon aji panc picant 57 g 6 unid,9
sal fina 600 g,S/7.84,20 %,maras-gourmet,Metro,sal fin 600 g,0
trigo mote bolsa 350 g,S/2.70,0,Tesoro del Campo,Metro,trig mot bols 350 g,0
aceite vegetal primor clásico 1.8l,S/20.90,0,Primor,Metro,aceit vegetal primor clasic 1.8l,4
alverja verde tesoro del campo bolsa 350 g,S/2.85,0,Tesoro del Campo,Metro,alverj verd tesor camp bols 350 g,2
pecanas peladas cuisine&co pote 100 g,S/13.30,0,Cuisine & Co,Metro,pecan pel cuisin & co pot 100 g,1
macaroni & cheese cuisine & co sabor original caja 226g,S/6.40,0,Cuisine & Co,Metro,macaroni & chees cuisin & co sabor original caj 226g,1
sillau kikko botella 1 litro,S/6.90,0,Kikko,Metro,sillau kikk botell 1 litr,0
leche condensada cuisine & co lata 397g,S/5.40,11 %,Cuisine & Co,Metro,lech condens cuisin & co lat 397g,1
mayonesa light cuisine & co doypack 475 g,S/10.16,20 %,Cuisine & Co,Metro,mayones light cuisin & co doypack 475 g,7
arroz extra añejo cuisine&co bolsa 5 kg,S/. 20.90,12 %,Cuisine & Co,Metro,arroz extra añej cuisin & co bols 5 kg,6
salsa de culantro con espinaca culantrito sibarita doypack 250 g,S/3.90,0,Sibarita,Metro,sals culantr espinac culantrit sibarit doypack 250 g,0
kétchup cuisine & co 380g,S/6.64,20 %,Cuisine & Co,Metro,ketchup cuisin & co 380g,1
mayonesa tradicional cuisine & co 475g,S/10.16,20 %,Cuisine & Co,Metro,mayones tradicional cuisin & co 475g,1
papas inka chips sabor jalapeño 135g,S/5.50,31 %,Inka Chips,Metro,pap inka chips sabor jalapeñ 135g,5
pastina tornillo de colores don vittorio 250g,S/2.30,0,Don Vittorio,Metro,pastin tornill color don vittori 250g,0
maní salado cuisine & co 200g,S/6.50,0,Cuisine & Co,Metro,man sal cuisin & co 200g,1
caldo concentrado sabor tocino doña gusta  caja 42 g,S/1.70,0,Doña Gusta,Metro,cald concentr sabor tocin doñ gust caj 42 g,5
solido de atún en agua y sal metro lata 120 g,S/4.48,20 %,Metro,Metro,sol atun agu sal metr lat 120 g,8
papas en hojuelas lay's clásicas 150g + piqueo snax original 200g,S/13.90,0,Frito Lays,Metro,pap hojuel lay 's clasic 150g + pique snax original 200g,0
pallar cuisine & co bolsa 500 gr,S/5.52,20 %,Cuisine & Co,Metro,pall cuisin & co bols 500 gr,1
frijol panamito cuisine & co bolsa 500 gr,S/5.20,0,Cuisine & Co,Metro,frijol panamit cuisin & co bols 500 gr,1
frijol canario cuisine & co 500g,S/7.10,0,Cuisine & Co,Metro,frijol canari cuisin & co 500g,3
papa seca máxima bolsa 500 g,S/5.50,0,Máxima,Metro,pap sec maxim bols 500 g,2
pastina corbata chica don vittorio 235g,S/2.30,0,Don Vittorio,Metro,pastin corbat chic don vittori 235g,0
arroz faraón extra añejo naranja bolsa 750 g,S/. 4.00,0,Faraon,Metro,arroz faraon extra añej naranj bols 750 g,6
lomito de atún primor 170g,S/6.70,0,Primor,Metro,lomit atun primor 170g,8
arroz extra metro 750g,S/. 3.70,0,Metro,Metro,arroz extra metr 750g,6
bombones con rellenos surtidos nestlé multipack 45un,S/17.90,20 %,Nestlé,Metro,bombon rellen surt nestl multipack 45un,0
papas pringles original 124g,S/9.90,0,Pringles,Metro,pap pringl original 124g,0
papas al hilo villa natura 150g,S/5.70,20 %,Villa Natura,Metro,pap hil vill natur 150g,0
garbanzo maixma bolsa 500 g,S/4.90,0,Máxima,Metro,garbanz maixm bols 500 g,2
pallar maxima bolsa 500 g,S/5.90,0,Máxima,Metro,pall maxim bols 500 g,2
arroz familiar maxima bolsa 5 kg,S/. 16.20,0,Máxima,Metro,arroz famili maxim bols 5 kg,6
aceite vegetal cocinero 900ml,S/9.60,13 %,Cocinero,Metro,aceit vegetal cociner 900ml,4
panquita sibarita doypack 250 gr,S/9.40,0,Sibarita,Metro,panquit sibarit doypack 250 gr,7
amarillin 250g,S/7.92,20 %,Sibarita,Metro,amarillin 250g,0
ajo molido sibarita ajo siba 250g,S/9.90,0,Sibarita,Metro,ajo mol sibarit ajo sib 250g,0
esencia de vainilla universal frasco 100 ml,S/2.60,0,Universal,Metro,esenci vainill universal frasc 100 ml,0
chuño universal bolsa 180 g,S/3.10,0,Universal,Metro,chuñ universal bols 180 g,0
polvo para hornear royal sobre 20 g,S/1.04,20 %,Royal,Metro,polv horn royal 20 g,0
galletas rellenitas gn chocolate paquete 288 g,S/4.40,0,GN,Metro,gallet rellenit gn chocolat paquet 288 g,5
harina de maiz blanco precocida p.a.n contenido 1 kg,S/8.50,25 %,P.A.N.,Metro,harin maiz blanc precoc p.a.n conten 1 kg,0
trozos de atún en aceite vegetal florida 150g,S/5.80,9 %,Florida,Metro,troz atun aceit vegetal flor 150g,8
cubito sabor gallina maggi 25un.,S/5.60,0,Maggi,Metro,cubit sabor gallin maggi 25un .,5
papas inka chips sabor bbq y cebolla 135g,S/5.50,31 %,Inka Chips,Metro,pap inka chips sabor bbq ceboll 135g,5
papas inka chips sabor queso y cebolla 135g,S/5.50,31 %,Inka Chips,Metro,pap inka chips sabor ques ceboll 135g,5
chocolate chocman 6un,S/. 4.10,0,Costa,Metro,chocolat chocm 6un,0
leche condensada gloria doy pack 200 g,S/4.40,0,Gloria,Metro,lech condens glori doy pack 200 g,9
sixpack galletas morochas doble placer 34.4g,S/4.90,28 %,Nestlé,Metro,sixpack gallet moroch dobl plac 34.4g,5
salsa a la bolognesa molitalia pomarola 370g,S/7.20,0,Molitalia,Metro,sals bolognes molitali pomarol 370g,0
gelatina universal de uva sobre 130g,S/3.75,0,Universal,Metro,gelatin universal uva 130g,0
gelatina universal de naranja sobre 130g,S/3.75,0,Universal,Metro,gelatin universal naranj 130g,0
gelatina en polvo sabor a piña royal sobre 160 g,S/3.00,20 %,Royal,Metro,gelatin polv sabor piñ royal 160 g,5
gelatina en polvo sabor a naranja royal sobre 160 g,S/3.00,20 %,Royal,Metro,gelatin polv sabor naranj royal 160 g,5
gelatina diet universal piña caja 19 g,S/3.50,0,Universal,Metro,gelatin diet universal piñ caj 19 g,0
mezcla para apanar ajinomix ajinomoto crocante bolsa 96 g,S/3.10,0,Ajinomoto,Metro,mezcl apan ajinomix ajinomot crocant bols 96 g,0
orégano molido sibarita pack 6 unid x 3.5 g,S/1.99,0,Sibarita,Metro,oregan mol sibarit pack 6 unid x 3.5 g,9
orégano entero sibarita sobre 9 g,S/1.99,0,Sibarita,Metro,oregan enter sibarit 9 g,0
vinagre blanco venturo botella plástica 600 ml,S/5.20,0,Venturo,Metro,vinagr blanc ventur botell plastic 600 ml,0
vinagre blanco florida botella plástica 625 ml,S/3.40,0,Florida,Metro,vinagr blanc flor botell plastic 625 ml,0
sazonador deli arroz pack 6 unid,S/1.70,0,Deli Arroz,Metro,sazon deli arroz pack 6 unid,9
sazonador ajinomoto sobre 100 g,S/3.20,0,Ajinomoto,Metro,sazon ajinomot 100 g,9
sazonador ajinomoto bolsa 500 g,S/11.50,0,Ajinomoto,Metro,sazon ajinomot bols 500 g,2
salsa roja completa don vittorio 200g,S/3.90,0,Don Vittorio,Metro,sals roj complet don vittori 200g,0
concentrado de tomate molitalia 110g,S/2.10,0,Molitalia,Metro,concentr tomat molitali 110g,0
mayonesa light alacena 400g,S/13.90,0,AlaCena,Metro,mayones light alacen 400g,7
mayonesa alacena 190g,S/9.90,0,AlaCena,Metro,mayones alacen 190g,7
comino molido sibarita sobre 6 unid,S/3.90,0,Sibarita,Metro,comin mol sibarit 6 unid,9
ajo molido piki 350g,S/11.50,0,Piki,Metro,ajo mol piki 350g,0
ají especial panquita sin picante sibarita pack 3 unid x 31.2 g,S/3.60,0,Sibarita,Metro,aji especial panquit picant sibarit pack 3 unid x 31.2 g,9
tortillas de maíz tostitos original 200g,S/6.50,30 %,Frito Lays,Metro,tortill maiz tostit original 200g,0
papas al hilo lays 155g,S/5.90,0,Frito Lays,Metro,pap hil lays 155g,0
galletas integrackers integrackers miel 30g 9un,S/10.00,0,Victoria,Metro,gallet integrackers integrackers miel 30g 9un,5
wafers nik costa vainilla pack 6un,S/. 4.20,0,Costa,Metro,wafers nik cost vainill pack 6un,9
wafers nik costa chocolate pack 6un,S/. 4.20,0,Costa,Metro,wafers nik cost chocolat pack 6un,9
sixpack galletas oreo original 36g,S/3.84,20 %,Oreo,Metro,sixpack gallet ore original 36g,5
sixpack galletas marquesitas vainilla 46g,S/5.80,0,Victoria,Metro,sixpack gallet marquesit vainill 46g,5
sixpack galletas tentación sabor chocolate 47g,S/4.50,0,Victoria,Metro,sixpack gallet tentacion sabor chocolat 47g,5
sixpack galletas glacitas toffee 32g,S/5.00,0,Victoria,Metro,sixpack gallet glacit toffe 32g,5
sixpack galletas casino menta 47g,S/4.60,0,Victoria,Metro,sixpack gallet casin ment 47g,5
sixpack galletas casino fresa 47g,S/4.60,0,Victoria,Metro,sixpack gallet casin fres 47g,5
galletas saladas ritz mini paquete 50 g,S/1.20,20 %,Ritz,Metro,gallet sal ritz mini paquet 50 g,5
sixpack galletas bañadas en chocolate chokosoda field 36g,S/4.80,20 %,Field,Metro,sixpack gallet bañ chocolat chokosod field 36g,5
sixpack galleta costa soda light 40g,S/4.60,0,Costa,Metro,sixpack gallet cost sod light 40g,5
galletas animalitos vainilla bolsa 150 g,S/1.80,0,San Jorge,Metro,gallet animalit vainill bols 150 g,5
tallarín molitalia 450g,S/3.70,5 %,Molitalia,Metro,tallarin molitali 450g,0
spaghetti nro 32 molitalia 450g,S/3.70,5 %,Molitalia,Metro,spaghetti nro 32 molitali 450g,0
pastina corta molitalia macarrón 235g,S/2.10,0,Molitalia,Metro,pastin cort molitali macarron 235g,0
pastina letras molitalia bolsa 250 g,S/2.10,0,Molitalia,Metro,pastin letr molitali bols 250 g,0
pastina fusilli tricolor molitalia bolsa 250 g,S/2.75,0,Molitalia,Metro,pastin fusilli tricolor molitali bols 250 g,0
pastina canuto chico don vittorio 235g,S/2.30,0,Don Vittorio,Metro,pastin canut chic don vittori 235g,0
cabello de ángel nro 24 molitalia bolsa 250 g,S/2.10,0,Molitalia,Metro,cabell angel nro 24 molitali bols 250 g,0
trozos de atún en aceite vegetal campomar 150g,S/5.40,11 %,Campomar,Metro,troz atun aceit vegetal campom 150g,8
sopa instantánea ajinomen sabor pollo 80g,S/1.60,0,Ajinomen,Metro,sop instantane ajinom sabor poll 80g,5
sopa de oriental con fideos ajinomen sobre 80 g,S/1.60,0,Ajinomen,Metro,sop oriental fide ajinom 80 g,0
sopa de gallina criolla con fideos ajinomen sobre 80 g,S/1.60,0,Ajinomen,Metro,sop gallin crioll fide ajinom 80 g,0
sopa instantánea ajinomen sabor carne 80g,S/1.60,0,Ajinomen,Metro,sop instantane ajinom sabor carn 80g,5
cubo sabor gallina maggi 8un.,S/3.50,22 %,Maggi,Metro,cub sabor gallin maggi 8un .,5
caldo de costilla doña gusta caja 6un,S/1.70,0,Doña Gusta,Metro,cald costill doñ gust caj 6un,0
concentrado en polvo doña gusta sabor carne 6un,S/1.70,0,Doña Gusta,Metro,concentr polv doñ gust sabor carn 6un,5
frijol castilla tesoro del campo bolsa 500 g,S/5.80,0,Tesoro del Campo,Metro,frijol castill tesor camp bols 500 g,2
papa seca costeño bolsa 500 g,S/7.90,0,Costeño,Metro,pap sec costeñ bols 500 g,2
quinua costeño bolsa 500 g,S/9.50,0,Costeño,Metro,quinu costeñ bols 500 g,2
arveja verde costeño bolsa 500 g,S/3.28,20 %,Costeño,Metro,arvej verd costeñ bols 500 g,2
frijol canario costeño bolsa 500 g,S/8.30,0,Costeño,Metro,frijol canari costeñ bols 500 g,2
quinua tesoro del campo bolsa 500 g,S/9.69,0,Tesoro del Campo,Metro,quinu tesor camp bols 500 g,2
frijol canario tesoro del campo bolsa 500 g,S/8.20,0,Tesoro del Campo,Metro,frijol canari tesor camp bols 500 g,2
trigo mote tesoro del campo bolsa 500 g,S/3.50,0,Tesoro del Campo,Metro,trig mot tesor camp bols 500 g,2
arroz superior valle norte primera cosecha bolsa 750 g,S/. 3.50,0,Valle Norte,Metro,arroz superior vall nort primer cosech bols 750 g,6
arroz gran reserva extra valle norte bolsa 750 g,S/. 4.30,0,Valle Norte,Metro,arroz gran reserv extra vall nort bols 750 g,6
